t_s,delta_pm_pu,Pm0_pu_sysbase
5.31,0.04910442425793956,1.1175729314683598
5.32,0.04910648057808259,1.1175729314683598
5.33,0.04910854168318457,1.1175729314683598
5.34,0.049110609128757324,1.1175729314683598
5.35,0.04911268439895853,1.1175729314683598
5.36,0.0491147689040137,1.1175729314683598
5.37,0.04911686397789565,1.1175729314683598
5.38,0.049118970876253526,1.1175729314683598
5.39,0.0491210907745856,1.1175729314683598
5.4,0.0491232247666648,1.1175729314683598
5.41,0.04912537386321087,1.1175729314683598
5.42,0.0491275389908049,1.1175729314683598
5.43,0.04912972099105225,1.1175729314683598
5.44,0.0491319206199801,1.1175729314683598
5.45,0.049134138547674414,1.1175729314683598
5.46,0.049136375358152,1.1175729314683598
5.47,0.049138631549460826,1.1175729314683598
5.48,0.04914090753399736,1.1175729314683598
5.49,0.049143203639052516,1.1175729314683598
5.5,0.049145520107561305,1.1175729314683598
5.51,0.049147857099063975,1.1175729314683598
5.52,0.049150214690864565,1.1175729314683598
5.53,0.04915259287938312,1.1175729314683598
5.54,0.049154991581691024,1.1175729314683598
5.55,0.049157410637228637,1.1175729314683598
5.56,0.04915984980968697,1.1175729314683598
5.57,0.04916230878905203,1.1175729314683598
5.58,0.04916478719380608,1.1175729314683598
5.59,0.049167284573271644,1.1175729314683598
5.6,0.04916980041008459,1.1175729314683598
5.61,0.04917233412280361,1.1175729314683598
5.62,0.04917488506862818,1.1175729314683598
5.63,0.04917745254622722,1.1175729314683598
5.64,0.0491800357986683,1.1175729314683598
5.65,0.04918263401643223,1.1175729314683598
5.66,0.04918524634050646,1.1175729314683598
5.67,0.04918787186555019,1.1175729314683598
5.68,0.04919050964312059,1.1175729314683598
5.69,0.04919315868494231,1.1175729314683598
5.7,0.0491958179662266,1.1175729314683598
5.71,0.04919848642901541,1.1175729314683598
5.72,0.049201162985552084,1.1175729314683598
5.73,0.049203846521660335,1.1175729314683598
5.74,0.04920653590013099,1.1175729314683598
5.75,0.04920922996410011,1.1175729314683598
5.76,0.04921192754041624,1.1175729314683598
5.77,0.04921462744298084,1.1175729314683598
5.78,0.049217328476065726,1.1175729314683598
5.79,0.04922002943758,1.1175729314683598
5.8,0.049222729122301294,1.1175729314683598
5.81,0.049225426325047415,1.1175729314683598
5.82,0.04922811984378635,1.1175729314683598
5.83,0.049230808482679835,1.1175729314683598
5.84,0.04923349105504767,1.1175729314683598
5.85,0.04923616638625694,1.1175729314683598
5.86,0.04923883331651775,1.1175729314683598
5.87,0.0492414907035896,1.1175729314683598
5.88,0.0492441374253863,1.1175729314683598
5.89,0.04924677238248264,1.1175729314683598
5.9,0.049249394500502336,1.1175729314683598
5.91,0.049252002732411454,1.1175729314683598
5.92,0.04925459606067605,1.1175729314683598
5.93,0.04925717349931568,1.1175729314683598
5.94,0.04925973409582849,1.1175729314683598
5.95,0.04926227693298857,1.1175729314683598
5.96,0.04926480113052089,1.1175729314683598
5.97,0.04926730584664699,1.1175729314683598
5.98,0.049269790279496,1.1175729314683598
5.99,0.049272253668385585,1.1175729314683598
6.0,0.04927469529497368,1.1175729314683598
6.01,0.04927711448427426,1.1175729314683598
6.02,0.04927951060553444,1.1175729314683598
6.03,0.04928188307299334,1.1175729314683598
6.04,0.04928423134649422,1.1175729314683598
6.05,0.04928655493197559,1.1175729314683598
6.06,0.04928885338182547,1.1175729314683598
6.07,0.04929112629511544,1.1175729314683598
6.08,0.04929337331770129,1.1175729314683598
6.09,0.04929559414220576,1.1175729314683598
6.1,0.04929778850787693,1.1175729314683598
6.11,0.049299956200328315,1.1175729314683598
6.12,0.04930209705116555,1.1175729314683598
6.13,0.04930421093750143,1.1175729314683598
6.14,0.0493062977813603,1.1175729314683598
6.15,0.049308357548979394,1.1175729314683598
6.16,0.04931039025000975,1.1175729314683598
6.17,0.04931239593662101,1.1175729314683598
6.18,0.049314374702513146,1.1175729314683598
6.19,0.04931632668184218,1.1175729314683598
6.2,0.04931825204805996,1.1175729314683598
6.21,0.04932015101268023,1.1175729314683598
6.22,0.04932202382396893,1.1175729314683598
6.23,0.0493238707655647,1.1175729314683598
6.24,0.049325692155041734,1.1175729314683598
6.25,0.04932748834240546,1.1175729314683598
6.26,0.04932925970854424,1.1175729314683598
6.27,0.0493310066636297,1.1175729314683598
6.28,0.049332729645470495,1.1175729314683598
6.29,0.049334429117836566,1.1175729314683598
6.3,0.04933610556874516,1.1175729314683598
6.31,0.04933775950872052,1.1175729314683598
6.32,0.04933939146903544,1.1175729314683598
6.33,0.0493410019999312,1.1175729314683598
6.34,0.04934259166882804,1.1175729314683598
6.35,0.04934416105853116,1.1175729314683598
6.36,0.04934571076542947,1.1175729314683598
6.37,0.049347241397701136,1.1175729314683598
6.38,0.04934875357352544,1.1175729314683598
6.39,0.049350247919305215,1.1175729314683598
6.4,0.049351725067908206,1.1175729314683598
6.41,0.04935318565692925,1.1175729314683598
6.42,0.049354630326971856,1.1175729314683598
6.43,0.049356059719967,1.1175729314683598
6.44,0.049357474477516886,1.1175729314683598
6.45,0.04935887523927908,1.1175729314683598
6.46,0.04936026264139001,1.1175729314683598
6.47,0.049361637314930026,1.1175729314683598
6.48,0.049362999884437,1.1175729314683598
6.49,0.049364350966465305,1.1175729314683598
6.5,0.04936569116819993,1.1175729314683598
6.51,0.04936702108612268,1.1175729314683598
6.52,0.04936834130473881,1.1175729314683598
6.53,0.049369652395355075,1.1175729314683598
6.54,0.04937095491492822,1.1175729314683598
6.55,0.049372249404967636,1.1175729314683598
6.56,0.049373536390506255,1.1175729314683598
6.57,0.04937481637913796,1.1175729314683598
6.58,0.04937608986011826,1.1175729314683598
6.59,0.04937735730353229,1.1175729314683598
