t_s,df_hz
6.07,-0.03701709338627452
6.08,-0.037017742194309255
6.09,-0.03701838411265849
6.1,-0.03701902074806724
6.11,-0.03701965366660577
6.12,-0.037020284390327104
6.13,-0.037020914394370184
6.14,-0.03702154510413411
6.15,-0.03702217789265516
6.16,-0.037022814078188485
6.17,-0.037023454921931716
6.18,-0.03702410162603194
6.19,-0.03702475533174132
6.2,-0.03702541711775301
6.21,-0.03702608799875438
6.22,-0.03702676892420367
6.23,-0.0370274607771973
6.24,-0.037028164373661764
6.25,-0.037028880461674046
6.26,-0.03702960972099974
6.27,-0.037030352762736626
6.28,-0.03703111012920262
6.29,-0.03703188229407079
6.3,-0.03703266966256897
6.31,-0.037033472571828464
6.32,-0.037034291291561994
6.33,-0.03703512602481608
6.34,-0.0370359769087534
6.35,-0.037036844015816854
6.36,-0.0370377273548554
6.37,-0.03703862687247863
6.38,-0.03703954245457986
6.39,-0.03704047392790902
6.4,-0.03704142106172748
6.41,-0.03704238356971653
6.42,-0.03704336111190534
6.43,-0.03704435329671441
6.44,-0.037045359683067776
6.45,-0.03704637978263355
6.46,-0.037047413062124286
6.47,-0.03704845894566702
6.48,-0.03704951681717846
6.49,-0.03705058602299674
6.5,-0.03705166587424569
6.51,-0.037052755649562716
6.52,-0.037053854597611284
6.53,-0.03705496193979732
6.54,-0.037056076872850674
6.55,-0.03705719857157835
6.56,-0.037058326191466984
6.57,-0.037059458871329234
6.58,-0.0370605957361069
6.59,-0.037061735899409406
6.6,-0.03706287846614502
6.61,-0.03706402253511216
6.62,-0.03706516720160287
6.63,-0.03706631155985018
6.64,-0.03706745470561546
6.65,-0.03706859573849504
6.66,-0.03706973376429321
6.67,-0.037070867897396456
6.68,-0.03707199726288177
6.69,-0.03707312099876639
6.7,-0.03707423825809944
6.71,-0.03707534821089246
6.72,-0.03707645004606809
6.73,-0.037077542973280676
6.74,-0.03707862622463584
6.75,-0.037079699056405395
6.76,-0.037080760750454786
6.77,-0.03708181061580552
