t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
6.0,0.4376321214817087,0.0061305831505874125,1.0941768808963555,0.6565447594146469,0.9993830785971646,10.0
6.01,0.43763366549896593,0.00613212716784462,1.0941770829489792,0.6565434174500132,0.9993830705150597,10.0
6.02,0.4376352355887938,0.006133697257672514,1.094177284067151,0.6565420484783574,0.9993830624703328,10.0
6.03,0.43763682790083774,0.006135289569716421,1.0941774850716997,0.6565406571708621,0.9993830544301507,10.0
6.04,0.43763843860153506,0.006136900270413753,1.0941776867581237,0.6565392481565884,0.9993830463626938,10.0
6.05,0.43764006388378324,0.006138525552661884,1.094177889895031,0.6565378260112479,0.9993830382372175,10.0
6.06,0.4376416999763396,0.006140161645218293,1.0941780952226703,0.6565363952463309,0.9993830300241119,10.0
6.07,0.43764334315293824,0.006141804821816914,1.0941783034515693,0.6565349602986311,0.999383021694956,10.0
6.08,0.4376449897411009,0.0061434514099796105,1.094178515261294,0.6565335255201932,0.999383013222567,10.0
6.09,0.43764663613063004,0.0061450977995087235,1.094178731299285,0.6565320951686549,0.9993830045810473,10.0
6.1,0.43764827878176843,0.006146740450647129,1.094178952179832,0.6565306733980635,0.9993829957458255,10.0
6.11,0.4376499142330046,0.006148375901883268,1.0941791784831498,0.656529264250145,0.9993829866936929,10.0
6.12,0.4376515391085202,0.006150000777398932,1.0941794107545446,0.6565278716460246,0.9993829774028369,10.0
6.13,0.4376531501252609,0.006151611794139584,1.0941796495037241,0.6565264993784632,0.9993829678528698,10.0
6.14,0.43765474409962224,0.00615320576850096,1.0941798952041768,0.6565251511045544,0.9993829580248517,10.0
6.15,0.437656317953738,0.006154779622616674,1.094180148292706,0.6565238303389681,0.9993829479013105,10.0
6.16,0.43765786872136775,0.0061563303902464304,1.0941804091690268,0.656522540447659,0.9993829374662576,10.0
6.17,0.43765939355337485,0.00615785522225356,1.0941806781954984,0.6565212846421234,0.9993829267051988,10.0
6.18,0.43766088972278777,0.006159351391666485,1.0941809556969533,0.6565200659741655,0.9993829156051406,10.0
6.19,0.43766235462943603,0.006160816298314736,1.0941812419606276,0.6565188873311916,0.9993829041545936,10.0
6.2,0.4376637858041619,0.006162247473040595,1.0941815372361947,0.6565177514320327,0.999382892343571,10.0
6.21,0.4376651809126099,0.006163642581488582,1.0941818417359088,0.6565166608232987,0.9993828801635823,10.0
6.22,0.43766653775858727,0.006164999427465996,1.0941821556348184,0.656515617876231,0.999382867607626,10.0
6.23,0.43766785428698574,0.006166315955864438,1.0941824790711103,0.6565146247841245,0.9993828546701744,10.0
6.24,0.4376691285862916,0.006167590255170274,1.0941828121465125,0.656513683560221,0.9993828413471583,10.0
6.25,0.43767035889065226,0.006168820559530941,1.0941831549268113,0.6565127960361589,0.9993828276359463,10.0
6.26,0.43767154358153265,0.006170005250411355,1.0941835074424322,0.6565119638608997,0.9993828135353214,10.0
6.27,0.43767268118895325,0.006171142857831916,1.0941838696891233,0.65651118850017,0.9993827990454538,10.0
6.28,0.4376737703923029,0.006172232061181575,1.0941842416286984,0.6565104712363955,0.9993827841678709,10.0
6.29,0.4376748100207612,0.00617327168963991,1.0941846231898678,0.6565098131691065,0.999382768905424,10.0
6.3,0.4376757990533067,0.0061742607221854096,1.0941850142691407,0.6565092152158339,0.9993827532622531,10.0
6.31,0.4376767366183372,0.006175198287215962,1.0941854147317784,0.6565086781134413,0.9993827372437476,10.0
6.32,0.4376776219929114,0.006176083661790036,1.0941858244128437,0.6565082024199325,0.999382720856505,10.0
6.33,0.4376784546016098,0.006176916270488537,1.094186243118261,0.656507788516651,0.9993827041082883,10.0
6.34,0.43767923401504205,0.006177695683920709,1.094186670625981,0.6565074366109392,0.9993826870079795,10.0
6.35,0.4376799599479871,0.006178421616865769,1.094187106687164,0.6565071467391768,0.9993826695655321,10.0
6.36,0.43768063225721177,0.006179093926090467,1.0941875510274213,0.6565069187702094,0.9993826517919219,10.0
6.37,0.4376812509389447,0.006179712607823425,1.0941880033480982,0.6565067524091536,0.9993826336990947,10.0
6.38,0.43768181612604795,0.006180277794926621,1.0941884633275893,0.6565066472015414,0.9993826152999152,10.0
6.39,0.4376823280848815,0.0061807897537602035,1.094188930622698,0.6565066025378165,0.9993825966081109,10.0
6.4,0.43768278721188586,0.006181248880764537,1.0941894048700171,0.6565066176581313,0.999382577638218,10.0
6.41,0.43768319402988826,0.006181655698766923,1.0941898856873291,0.656506691657441,0.9993825584055256,10.0
6.42,0.4376835491841562,0.006182010853034859,1.094190372675043,0.6565068234908868,0.999382538926017,10.0
6.43,0.4376838534382087,0.006182315107087419,1.094190865417628,0.6565070119794193,0.9993825192163136,10.0
6.44,0.437684107669402,0.006182569338280716,1.0941913634850873,0.6565072558156851,0.9993824992936153,10.0
6.45,0.43768431286430887,0.006182774533187573,1.094191866434398,0.6565075535700892,0.9993824791756428,10.0
6.46,0.43768447011390027,0.006182931782778963,1.0941923738109978,0.6565079036970973,0.9993824588805789,10.0
6.47,0.4376845806085558,0.006183042277434484,1.094192885150242,0.6565083045416863,0.9993824384270091,10.0
6.48,0.4376846456329129,0.0061831073017916205,1.0941933999788749,0.6565087543459621,0.9993824178338638,10.0
6.49,0.43768466656057414,0.0061831282294528295,1.0941939178164795,0.6565092512559054,0.9993823971203596,10.0
6.5,0.43768464484868713,0.0061831065175658355,1.0941944381769289,0.6565097933282418,0.9993823763059416,10.0
6.51,0.43768458203241756,0.006183043701296261,1.0941949605698056,0.656510378537388,0.9993823554102266,10.0
6.52,0.43768447971932867,0.006182941388207384,1.0941954845018174,0.6565110047824886,0.9993823344529461,10.0
6.53,0.43768433958368635,0.006182801252565082,1.094196009478191,0.6565116698945046,0.9993823134538912,10.0
6.54,0.43768416336070376,0.006182625029582488,1.0941965350040295,0.6565123716433258,0.9993822924328576,10.0
6.55,0.4376839528407449,0.006182414509623577,1.0941970605856477,0.656513107744903,0.9993822714095928,10.0
6.56,0.4376837098635014,0.006182171532380105,1.0941975857318817,0.6565138758683803,0.9993822504037435,10.0
6.57,0.43768343631215817,0.0061818979810368355,1.0941981099553544,0.6565146736431963,0.9993822294348046,10.0
6.58,0.4376831341075642,0.006181595776442946,1.0941986327737128,0.6565154986661488,0.9993822085220702,10.0
6.59,0.43768280520242414,0.00618126687130286,1.094199153710824,0.6565163485083996,0.9993821876845859,10.0
6.6,0.4376824515755242,0.006180913244402912,1.0941996722979221,0.6565172207223979,0.9993821669411018,10.0
6.61,0.43768207522600905,0.006180536894887738,1.0942001880747296,0.6565181128487206,0.9993821463100296,10.0
6.62,0.43768167816772197,0.006180139836600641,1.0942007005905163,0.6565190224227944,0.9993821258093981,10.0
6.63,0.4376812624236218,0.006179724092500536,1.0942012094051106,0.6565199469814887,0.9993821054568144,10.0
6.64,0.4376808300202914,0.006179291689170094,1.0942017140898823,0.6565208840695911,0.9993820852694235,10.0
6.65,0.4376803829825487,0.006178844651427366,1.0942022142286512,0.6565218312461025,0.9993820652638727,10.0
6.66,0.43767992332817296,0.006178384997051672,1.0942027094185602,0.6565227860903872,0.9993820454562763,10.0
6.67,0.4376794530627597,0.006177914731638345,1.0942031992708796,0.6565237462081199,0.9993820258621836,10.0
6.68,0.43767897417470997,0.0061774358435886636,1.0942036834117772,0.6565247092370673,0.9993820064965477,10.0
6.69,0.4376784886303712,0.006176950299249917,1.0942041614830158,0.6565256728526446,0.9993819873736981,10.0
6.7,0.437677998369335,0.006176460038213756,1.0942046331426065,0.6565266347732713,0.9993819685073145,10.0
6.71,0.4376775052999013,0.006175966968779994,1.0942050980654043,0.6565275927655031,0.9993819499104025,10.0
6.72,0.437677011294718,0.006175472963596686,1.0942055559436374,0.6565285446489193,0.9993819315952732,10.0
6.73,0.4376765181866067,0.006174979855485419,1.0942060064873982,0.6565294883007915,0.9993819135735229,10.0
6.74,0.4376760277645763,0.006174489433455028,1.0942064494250596,0.6565304216604831,0.9993818958560163,10.0
6.75,0.43767554177003587,0.006174003438914538,1.0942068845036441,0.6565313427336081,0.9993818784528731,10.0
6.76,0.4376750618932094,0.006173523562088133,1.0942073114891375,0.656532249595928,0.9993818613734533,10.0
6.77,0.4376745897697611,0.006173051438639816,1.0942077301667361,0.6565331403969751,0.9993818446263494,10.0
6.78,0.43767412697763125,0.006172588646509902,1.0942081403410593,0.6565340133634281,0.9993818282193764,10.0
6.79,0.43767367503409194,0.006172136702970611,1.0942085418362861,0.6565348668021942,0.9993818121595672,10.0
6.8,0.43767323539302094,0.006171697061899662,1.094208934496244,0.656535699103223,0.999381796453169,10.0
